tree,chamfer_distance,hausdorff_distance,precision,recall,f_score,voxel_iou
synthetic_01,0.0879842839216104,0.5927908753243096,0.83517,0.98347,0.9032734789732988,0.5119752421959096
synthetic_02,0.0540787023777365,0.3652656783973743,0.99519,0.98513,0.990134447665024,0.6832526825163054
synthetic_03,0.0586827721631589,1.3043760398296105,0.99649,0.97258,0.984389832966832,0.6779379157427938
synthetic_04,0.0397831319303238,0.231785735318838,0.98724,0.99586,0.9915312655942716,0.7204905467552376
