tree,sampled_points,f_threshold,voxel_size,chamfer_distance,hausdorff_distance,precision,recall,f_score,voxel_iou,gt_mesh,pred_mesh,mean_dist_pred_to_gt,mean_dist_gt_to_pred,max_dist_pred_to_gt,max_dist_gt_to_pred,source_csv
synthetic_02,75000,0.2,0.1,0.0569675140643879,0.3954485624608915,1.0,0.9982266666666668,0.9991125464578594,0.6652328207334122,data\synthetic\gt_mesh\synthetic_02_gt.obj,data\synthetic\adtree_output\synthetic_02_branches.obj,0.0287920517686398,0.0281754622957481,0.1570147264046499,0.3954485624608915,synthetic_02_75000_sample_points_f0.20_v0.10.csv
synthetic_02,100000,0.05,0.1,0.0537994418265278,0.387857612294109,0.87289,0.908,0.8900989056033781,0.6903205398566006,data\synthetic\gt_mesh\synthetic_02_gt.obj,data\synthetic\adtree_output\synthetic_02_branches.obj,0.0275356258313557,0.0262638159951721,0.1657473811910152,0.387857612294109,synthetic_02_100000_sample_points_f0.05_v0.10.csv
synthetic_02,100000,0.1,0.1,0.0540787023777365,0.3652656783973743,0.99519,0.98513,0.990134447665024,0.6832526825163054,data\synthetic\gt_mesh\synthetic_02_gt.obj,data\synthetic\adtree_output\synthetic_02_branches.obj,0.0277133250902407,0.0263653772874957,0.1637703331429054,0.3652656783973743,synthetic_02_100000_sample_points_f0.10_v0.10.csv
synthetic_02,100000,0.2,0.1,0.0540355056495378,0.4343165994451234,1.0,0.99821,0.9991041982574403,0.6863679694947569,data\synthetic\gt_mesh\synthetic_02_gt.obj,data\synthetic\adtree_output\synthetic_02_branches.obj,0.0275293131573006,0.0265061924922371,0.1651476401252401,0.4343165994451234,synthetic_02_100000_sample_points_f0.20_v0.10.csv
synthetic_03,50000,0.05,0.1,0.0692548164451312,1.2972501678741195,0.90622,0.88452,0.8952385208349621,0.6263698034440772,data\synthetic\gt_mesh\synthetic_03_gt.obj,data\synthetic\adtree_output\synthetic_03_branches.obj,0.0283227906144252,0.040932025830706,0.1705650121119228,1.2972501678741195,synthetic_03_50000_sample_points_f0.05_v0.10.csv
synthetic_03,50000,0.1,0.1,0.0682983450523242,1.2950288518929431,0.9952,0.96636,0.980567988743653,0.6279690189328744,data\synthetic\gt_mesh\synthetic_03_gt.obj,data\synthetic\adtree_output\synthetic_03_branches.obj,0.0282122972660069,0.0400860477863172,0.2058530259880325,1.2950288518929431,synthetic_03_50000_sample_points_f0.10_v0.10.csv
synthetic_03,50000,0.2,0.1,0.0687588242444715,1.2352579564107666,0.99998,0.9783,0.9890212042784642,0.6231520705455175,data\synthetic\gt_mesh\synthetic_03_gt.obj,data\synthetic\adtree_output\synthetic_03_branches.obj,0.028346418732134,0.0404124055123375,0.2196564636786906,1.2352579564107666,synthetic_03_50000_sample_points_f0.20_v0.10.csv
synthetic_03,75000,0.05,0.1,0.0624188225431543,1.26622379577326,0.9218533333333332,0.9101866666666668,0.915982852582064,0.6645559210526316,data\synthetic\gt_mesh\synthetic_03_gt.obj,data\synthetic\adtree_output\synthetic_03_branches.obj,0.0255685247707579,0.0368502977723964,0.1284060259992387,1.26622379577326,synthetic_03_75000_sample_points_f0.05_v0.10.csv
synthetic_03,75000,0.1,0.1,0.0628887721987463,1.3043555319842517,0.9962133333333332,0.9695466666666668,0.9826991256534086,0.661163134549039,data\synthetic\gt_mesh\synthetic_03_gt.obj,data\synthetic\adtree_output\synthetic_03_branches.obj,0.025515288330312,0.0373734838684343,0.1786263319974169,1.3043555319842517,synthetic_03_75000_sample_points_f0.10_v0.10.csv
synthetic_03,75000,0.2,0.1,0.0622788032051,1.3090813682632363,1.0,0.9801066666666668,0.9899534031836668,0.6600098215747258,data\synthetic\gt_mesh\synthetic_03_gt.obj,data\synthetic\adtree_output\synthetic_03_branches.obj,0.0253960090840946,0.0368827941210053,0.1485107931301998,1.3090813682632363,synthetic_03_75000_sample_points_f0.20_v0.10.csv
synthetic_03,100000,0.05,0.1,0.0587709453291673,1.2765349590709076,0.92978,0.9229,0.92632722542479,0.6782072563433721,data\synthetic\gt_mesh\synthetic_03_gt.obj,data\synthetic\adtree_output\synthetic_03_branches.obj,0.0239680086450825,0.0348029366840847,0.1308944442360662,1.2765349590709076,synthetic_03_100000_sample_points_f0.05_v0.10.csv
synthetic_03,100000,0.1,0.1,0.0586827721631589,1.3043760398296105,0.99649,0.97258,0.984389832966832,0.6779379157427938,data\synthetic\gt_mesh\synthetic_03_gt.obj,data\synthetic\adtree_output\synthetic_03_branches.obj,0.0239268626036665,0.0347559095594924,0.1282687342814174,1.3043760398296105,synthetic_03_100000_sample_points_f0.10_v0.10.csv
